GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2018,2019,2020,2021,2022
 "41000","Oregon",8,SAGDP11N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Percentage points",0.02,0.02,-0.05,0.01,0.02
 "41000","Oregon",8,SAGDP11N,23,"337","    Furniture and related product manufacturing ","Percentage points",0.00,-0.02,-0.01,0.00,-0.01
 "41000","Oregon",8,SAGDP11N,24,"339","    Miscellaneous manufacturing ","Percentage points",0.05,-0.04,0.00,0.03,0.03
 "41000","Oregon",8,SAGDP11N,25,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.18,-0.15,0.10,0.02,-0.02
 "41000","Oregon",8,SAGDP11N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Percentage points",0.13,-0.18,-0.01,0.04,0.09
 "41000","Oregon",8,SAGDP11N,27,"313-314","    Textile mills and textile product mills ","Percentage points",0.00,0.00,0.00,0.00,0.00
 "41000","Oregon",8,SAGDP11N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Percentage points",0.00,0.00,0.01,0.00,0.00
 "41000","Oregon",8,SAGDP11N,29,"322","    Paper manufacturing ","Percentage points",-0.01,-0.01,0.09,-0.05,-0.02
 "41000","Oregon",8,SAGDP11N,30,"323","    Printing and related support activities ","Percentage points",0.01,-0.01,-0.03,0.01,-0.01
 "41000","Oregon",8,SAGDP11N,31,"324","    Petroleum and coal products manufacturing ","Percentage points",-0.04,0.03,0.02,-0.03,-0.01
 "41000","Oregon",8,SAGDP11N,32,"325","    Chemical manufacturing ","Percentage points",0.04,0.02,0.03,0.00,0.01
 "41000","Oregon",8,SAGDP11N,33,"326","    Plastics and rubber products manufacturing ","Percentage points",0.04,0.00,-0.01,0.04,-0.09
 "41000","Oregon",8,SAGDP11N,34,"42","  Wholesale trade ","Percentage points",0.09,0.06,0.13,0.14,-0.24
 "41000","Oregon",8,SAGDP11N,35,"44-45","  Retail trade ","Percentage points",0.30,0.20,-0.07,0.01,-0.05
 "41000","Oregon",8,SAGDP11N,36,"48-49","  Transportation and warehousing ","Percentage points",0.07,0.04,-0.21,0.40,-0.04
