GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2018,2019,2020,2021,2022
 "48000","Texas",6,SAGDP11N,31,"324","    Petroleum and coal products manufacturing ","Percentage points",0.07,0.16,-0.41,0.28,-0.52
 "48000","Texas",6,SAGDP11N,32,"325","    Chemical manufacturing ","Percentage points",0.74,-0.86,-0.06,0.34,0.32
 "48000","Texas",6,SAGDP11N,33,"326","    Plastics and rubber products manufacturing ","Percentage points",0.00,0.02,-0.03,-0.01,-0.01
 "48000","Texas",6,SAGDP11N,34,"42","  Wholesale trade ","Percentage points",0.24,0.10,0.20,-0.26,0.00
 "48000","Texas",6,SAGDP11N,35,"44-45","  Retail trade ","Percentage points",0.23,0.09,-0.02,0.23,-0.05
 "48000","Texas",6,SAGDP11N,36,"48-49","  Transportation and warehousing ","Percentage points",0.10,-0.05,-0.30,0.47,0.16
 "48000","Texas",6,SAGDP11N,37,"481","   Air transportation ","Percentage points",0.03,0.00,-0.29,0.28,0.04
 "48000","Texas",6,SAGDP11N,38,"482","   Rail transportation ","Percentage points",0.01,-0.02,-0.02,0.01,0.01
 "48000","Texas",6,SAGDP11N,39,"483","   Water transportation ","Percentage points",0.01,-0.01,0.00,-0.01,-0.01
 "48000","Texas",6,SAGDP11N,40,"484","   Truck transportation ","Percentage points",0.03,-0.03,-0.08,0.10,-0.02
 "48000","Texas",6,SAGDP11N,41,"485","   Transit and ground passenger transportation ","Percentage points",-0.01,-0.01,-0.01,0.00,0.03
 "48000","Texas",6,SAGDP11N,42,"486","   Pipeline transportation ","Percentage points",0.00,0.04,-0.04,0.04,0.00
 "48000","Texas",6,SAGDP11N,43,"487-488,492","   Other transportation and support activities ","Percentage points",0.04,-0.02,0.08,-0.04,0.09
 "48000","Texas",6,SAGDP11N,44,"493","   Warehousing and storage ","Percentage points",0.01,-0.01,0.04,0.07,0.03
 "48000","Texas",6,SAGDP11N,45,"51","  Information ","Percentage points",0.24,0.35,0.13,0.60,0.49
 "48000","Texas",6,SAGDP11N,46,"511","   Publishing industries (except Internet) ","Percentage points",0.01,0.04,0.05,0.15,0.05
 "48000","Texas",6,SAGDP11N,47,"512","   Motion picture and sound recording industries ","Percentage points",0.00,0.01,0.00,-0.01,0.00
 "48000","Texas",6,SAGDP11N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Percentage points",0.21,0.15,-0.01,0.23,0.25
 "48000","Texas",6,SAGDP11N,49,"518-519","   Data processing, hosting, and other information services ","Percentage points",0.02,0.15,0.10,0.23,0.20
 "48000","Texas",6,SAGDP11N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Percentage points",0.81,0.59,1.46,1.84,1.03
 "48000","Texas",6,SAGDP11N,51,"52","   Finance and insurance ","Percentage points",0.11,0.24,0.11,0.91,0.08
 "48000","Texas",6,SAGDP11N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Percentage points",-0.01,0.10,0.27,0.21,-0.07
 "48000","Texas",6,SAGDP11N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Percentage points",0.05,0.02,0.04,0.02,0.15
 "48000","Texas",6,SAGDP11N,54,"524","    Insurance carriers and related activities ","Percentage points",0.20,0.12,-0.19,0.10,0.26
 "48000","Texas",6,SAGDP11N,55,"525","    Funds, trusts, and other financial vehicles ","Percentage points",-0.13,0.00,0.00,0.57,-0.25
 "48000","Texas",6,SAGDP11N,56,"53","   Real estate and rental and leasing ","Percentage points",0.70,0.35,1.35,0.93,0.95
 "48000","Texas",6,SAGDP11N,57,"531","    Real estate ","Percentage points",0.56,0.26,1.26,0.76,0.89
 "48000","Texas",6,SAGDP11N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Percentage points",0.14,0.09,0.08,0.17,0.06
 "48000","Texas",6,SAGDP11N,59,"54,55,56","  Professional and business services ","Percentage points",0.87,0.87,-0.45,1.71,1.34
 "48000","Texas",6,SAGDP11N,60,"54","   Professional, scientific, and technical services ","Percentage points",0.51,0.69,-0.35,0.99,0.87
 "48000","Texas",6,SAGDP11N,61,"5411","    Legal services ","Percentage points",0.03,0.01,-0.08,0.06,0.03
 "48000","Texas",6,SAGDP11N,62,"5415","    Computer systems design and related services ","Percentage points",0.27,0.34,-0.01,0.39,0.39
